Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.178987, 0.002979, 3.176008
2, 3.069580, 0.017832, 3.051748
3, 2.879985, 0.002649, 2.877336
4, 2.766991, 0.020293, 2.746698
5, 2.870706, 0.006015, 2.864691
6, 2.788152, 0.010000, 2.778152
7, 2.694433, 0.009982, 2.684451
8, 2.763543, 0.011002, 2.752542
9, 2.682591, 0.009977, 2.672614
10, 2.716748, 0.010704, 2.706044
11, 2.710246, 0.011484, 2.698762
12, 2.698108, 0.012399, 2.685709
13, 2.695396, 0.008921, 2.686475
14, 2.689019, 0.010971, 2.678048
15, 2.690441, 0.009985, 2.680456
16, 2.891632, 0.007949, 2.883683
17, 2.681378, 0.010001, 2.671376
18, 2.743330, 0.012081, 2.731248
19, 2.694397, 0.008707, 2.685689
20, 2.835485, 0.004024, 2.831460
21, 2.734505, 0.001982, 2.732523
22, 2.845894, 0.003000, 2.842894
23, 2.758470, 0.006210, 2.752261
24, 2.810868, 0.007993, 2.802875
25, 3.270394, 0.003839, 3.266556
26, 2.714546, 0.006985, 2.707562
27, 2.765616, 0.009968, 2.755648
28, 2.722645, 0.034518, 2.688127
29, 2.698541, 0.008254, 2.690287
30, 2.820523, 0.008981, 2.811543

=== Statistics (N=6) ===
Average Wall-Clock Time: 2.7961 s
Average ideal work: 2.7961 s
