Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.085034, 0.009992, 3.075042
2, 3.042851, 0.009317, 3.033534
3, 3.091733, 0.003001, 3.088732
4, 2.952873, 0.000000, 2.952873
5, 2.951037, 0.033250, 2.917787
6, 2.991294, 0.014558, 2.976736
7, 2.959285, 0.007039, 2.952246
8, 3.006455, 0.023106, 2.983349
9, 3.051756, 0.001998, 3.049757
10, 3.030946, 0.011247, 3.019699
11, 3.104069, 0.019433, 3.084636
12, 3.254712, 0.002320, 3.252392
13, 3.268863, 0.017461, 3.251403
14, 3.216676, 0.003001, 3.213676
15, 3.087483, 0.003021, 3.084463
16, 3.093549, 0.017611, 3.075938
17, 3.093899, 0.005019, 3.088880
18, 2.993543, 0.000000, 2.993543
19, 3.028176, 0.018678, 3.009497
20, 3.050676, 0.019586, 3.031090
21, 2.981012, 0.024587, 2.956424
22, 3.173258, 0.002012, 3.171246
23, 3.125939, 0.002000, 3.123939
24, 3.084509, 0.002000, 3.082509
25, 3.212592, 0.000000, 3.212592
26, 3.257858, 0.007941, 3.249916
27, 2.956486, 0.000000, 2.956486
28, 3.168956, 0.005980, 3.162975
29, 3.208785, 0.000999, 3.207786
30, 3.044724, 0.000000, 3.044724

=== Statistics (N=8) ===
Average Wall-Clock Time: 3.0856 s
Average ideal work: 3.0856 s
