Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.304011, 0.021228, 3.282783
2, 3.146117, 0.005919, 3.140198
3, 2.971561, 0.005705, 2.965856
4, 3.021915, 0.001999, 3.019916
5, 2.902926, 0.003016, 2.899910
6, 2.903689, 0.019650, 2.884039
7, 2.924951, 0.002001, 2.922950
8, 2.883315, 0.002992, 2.880323
9, 2.999855, 0.001014, 2.998840
10, 2.934852, 0.002000, 2.932852
11, 2.964259, 0.000000, 2.964259
12, 3.026732, 0.001995, 3.024737
13, 3.239229, 0.010151, 3.229079
14, 2.862361, 0.017848, 2.844513
15, 2.865619, 0.003133, 2.862486
16, 3.020508, 0.008667, 3.011841
17, 3.009309, 0.009203, 3.000106
18, 2.996009, 0.009400, 2.986609
19, 3.132197, 0.009997, 3.122200
20, 2.869089, 0.005470, 2.863620
21, 2.904867, 0.010491, 2.894377
22, 2.903002, 0.009863, 2.893138
23, 2.843766, 0.010138, 2.833628
24, 2.997000, 0.011368, 2.985632
25, 2.871362, 0.011561, 2.859801
26, 2.980417, 0.009564, 2.970853
27, 2.855728, 0.011553, 2.844174
28, 2.916846, 0.008755, 2.908091
29, 2.884672, 0.010004, 2.874669
30, 2.909646, 0.011565, 2.898081

=== Statistics (N=7) ===
Average Wall-Clock Time: 2.9682 s
Average ideal work: 2.9682 s
