Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 1.207117, 0.017627, 1.189490
2, 1.200790, 0.018644, 1.182145
3, 1.197237, 0.005115, 1.192122
4, 1.199188, 0.000000, 1.199188
5, 1.201383, 0.003006, 1.198377
6, 1.200464, 0.000000, 1.200464
7, 1.200050, 0.001003, 1.199047
8, 1.213470, 0.005992, 1.207478
9, 1.196137, 0.018964, 1.177173
10, 1.202284, 0.000000, 1.202284
11, 1.203200, 0.000000, 1.203200
12, 1.202645, 0.019637, 1.183007
13, 1.207510, 0.017629, 1.189882
14, 1.203534, 0.005030, 1.198504
15, 1.211159, 0.003879, 1.207281
16, 1.220560, 0.007047, 1.213513
17, 1.197778, 0.015681, 1.182097
18, 1.211460, 0.002001, 1.209459
19, 1.202296, 0.003000, 1.199296
20, 1.201847, 0.003286, 1.198561
21, 1.203968, 0.005001, 1.198967
22, 1.204428, 0.000000, 1.204428
23, 1.206331, 0.002000, 1.204330
24, 1.194193, 0.000000, 1.194193
25, 1.205264, 0.005763, 1.199501
26, 1.201066, 0.018431, 1.182636
27, 1.197536, 0.001001, 1.196535
28, 1.208151, 0.018634, 1.189517
29, 1.203683, 0.002457, 1.201226
30, 1.206994, 0.003018, 1.203977

=== Statistics (N=1) ===
Average Wall-Clock Time: 1.2037 s
Average ideal work: 1.2037 s
