Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.553988, 0.017943, 2.536045
2, 2.473200, 0.033853, 2.439347
3, 2.493680, 0.000000, 2.493680
4, 2.491755, 0.003976, 2.487779
5, 2.468433, 0.005152, 2.463281
6, 2.496928, 0.033381, 2.463547
7, 2.658911, 0.019934, 2.638977
8, 2.746669, 0.020880, 2.725789
9, 2.572243, 0.003967, 2.568276
10, 2.534099, 0.005977, 2.528121
11, 2.565171, 0.006019, 2.559152
12, 2.505025, 0.002013, 2.503012
13, 2.505172, 0.001994, 2.503179
14, 2.655656, 0.016884, 2.638772
15, 2.651206, 0.002994, 2.648213
16, 2.784861, 0.004000, 2.780861
17, 2.676543, 0.004796, 2.671747
18, 2.631649, 0.002020, 2.629629
19, 2.554164, 0.013917, 2.540247
20, 2.471878, 0.034534, 2.437344
21, 2.840032, 0.015991, 2.824041
22, 2.618361, 0.017723, 2.600638
23, 2.533515, 0.015843, 2.517672
24, 2.603147, 0.002995, 2.600152
25, 2.619805, 0.007958, 2.611846
26, 2.673437, 0.021020, 2.652417
27, 2.784472, 0.020931, 2.763541
28, 2.657674, 0.006013, 2.651661
29, 2.563933, 0.002984, 2.560948
30, 2.632114, 0.006794, 2.625320

=== Statistics (N=4) ===
Average Wall-Clock Time: 2.6006 s
Average ideal work: 2.6006 s
