Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.561462, 0.005005, 3.556458
2, 3.673456, 0.002987, 3.670469
3, 3.339665, 0.019622, 3.320043
4, 3.310361, 0.004136, 3.306226
5, 3.334083, 0.000000, 3.334083
6, 3.338951, 0.005989, 3.332961
7, 3.441499, 0.013949, 3.427551
8, 3.475466, 0.006016, 3.469451
9, 3.496511, 0.007001, 3.489510
10, 3.582983, 0.004639, 3.578344
11, 3.548455, 0.010015, 3.538441
12, 3.556025, 0.015425, 3.540600
13, 3.576797, 0.014314, 3.562483
14, 3.563746, 0.008002, 3.555744
15, 3.588053, 0.002984, 3.585069
16, 3.576444, 0.012206, 3.564238
17, 3.596855, 0.007988, 3.588867
18, 3.540098, 0.006987, 3.533111
19, 3.535843, 0.007995, 3.527848
20, 3.630401, 0.006001, 3.624400
21, 3.277472, 0.005855, 3.271617
22, 3.351029, 0.003001, 3.348029
23, 3.349402, 0.003001, 3.346401
24, 3.528943, 0.004998, 3.523945
25, 3.359213, 0.002023, 3.357190
26, 3.203897, 0.000000, 3.203897
27, 3.356176, 0.000000, 3.356176
28, 3.354408, 0.002997, 3.351411
29, 3.299565, 0.006012, 3.293553
30, 3.359895, 0.002084, 3.357810

=== Statistics (N=10) ===
Average Wall-Clock Time: 3.4569 s
Average ideal work: 3.4569 s
