Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.771163, 0.017264, 2.753900
2, 2.760908, 0.016620, 2.744288
3, 2.826484, 0.003155, 2.823329
4, 2.760091, 0.018609, 2.741482
5, 2.810396, 0.015616, 2.794781
6, 2.722911, 0.005100, 2.717812
7, 2.766978, 0.020432, 2.746545
8, 2.769921, 0.018616, 2.751306
9, 2.742301, 0.003015, 2.739285
10, 2.752073, 0.019711, 2.732362
11, 2.761791, 0.015630, 2.746161
12, 2.718811, 0.005167, 2.713645
13, 2.768394, 0.006005, 2.762389
14, 2.717933, 0.021647, 2.696285
15, 2.737590, 0.003000, 2.734590
16, 2.704509, 0.016586, 2.687923
17, 2.840560, 0.004986, 2.835575
18, 2.814997, 0.016588, 2.798409
19, 2.887146, 0.004013, 2.883133
20, 2.879645, 0.003000, 2.876645
21, 2.953009, 0.020938, 2.932071
22, 2.815513, 0.019318, 2.796196
23, 2.896920, 0.024854, 2.872066
24, 2.763713, 0.015644, 2.748069
25, 2.738092, 0.004000, 2.734092
26, 2.743536, 0.002000, 2.741536
27, 2.833422, 0.032212, 2.801210
28, 2.701609, 0.033876, 2.667732
29, 2.728492, 0.003001, 2.725491
30, 2.713223, 0.023420, 2.689803

=== Statistics (N=2) ===
Average Wall-Clock Time: 2.7801 s
Average ideal work: 2.7801 s
