Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.820470, 0.023005, 2.797465
2, 2.720011, 0.011230, 2.708781
3, 2.673720, 0.006287, 2.667433
4, 2.853935, 0.006256, 2.847679
5, 2.629781, 0.007917, 2.621864
6, 2.711165, 0.019128, 2.692038
7, 2.884842, 0.002923, 2.881919
8, 2.740569, 0.034141, 2.706429
9, 2.848031, 0.004015, 2.844015
10, 2.609721, 0.017713, 2.592009
11, 2.562418, 0.003996, 2.558422
12, 2.782864, 0.004851, 2.778013
13, 2.889816, 0.006966, 2.882850
14, 2.912315, 0.008822, 2.903493
15, 2.582185, 0.009002, 2.573183
16, 2.636119, 0.007614, 2.628504
17, 2.630271, 0.008468, 2.621803
18, 2.676438, 0.008263, 2.668175
19, 2.635135, 0.007070, 2.628065
20, 2.643251, 0.010284, 2.632967
21, 2.624703, 0.009481, 2.615222
22, 2.607512, 0.010741, 2.596771
23, 2.964708, 0.005989, 2.958720
24, 2.786036, 0.001001, 2.785035
25, 2.833040, 0.004775, 2.828265
26, 2.588976, 0.002986, 2.585990
27, 2.814169, 0.003016, 2.811153
28, 2.702736, 0.008233, 2.694503
29, 2.691084, 0.036947, 2.654136
30, 2.664254, 0.016696, 2.647558

=== Statistics (N=5) ===
Average Wall-Clock Time: 2.7240 s
Average ideal work: 2.7240 s
