Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.436845, 0.015652, 3.421193
2, 3.303278, 0.006649, 3.296630
3, 3.430601, 0.018250, 3.412351
4, 3.344657, 0.005111, 3.339547
5, 3.239970, 0.015901, 3.224069
6, 3.245512, 0.012709, 3.232803
7, 3.285508, 0.017879, 3.267629
8, 3.764765, 0.020834, 3.743931
9, 3.523113, 0.008689, 3.514425
10, 3.681515, 0.007558, 3.673956
11, 3.325850, 0.001142, 3.324708
12, 3.140546, 0.002941, 3.137605
13, 3.092632, 0.000000, 3.092632
14, 3.158130, 0.020589, 3.137541
15, 3.124987, 0.005001, 3.119986
16, 3.072599, 0.002179, 3.070420
17, 3.118053, 0.032262, 3.085792
18, 3.136163, 0.003003, 3.133159
19, 3.076746, 0.001004, 3.075742
20, 3.155724, 0.016654, 3.139070
21, 3.126818, 0.005017, 3.121801
22, 3.141047, 0.027080, 3.113967
23, 3.104958, 0.015755, 3.089203
24, 3.111347, 0.035276, 3.076071
25, 3.133048, 0.000000, 3.133048
26, 3.158659, 0.033649, 3.125010
27, 3.129276, 0.001087, 3.128189
28, 3.203829, 0.017647, 3.186182
29, 3.465218, 0.002028, 3.463190
30, 3.318740, 0.019799, 3.298941

=== Statistics (N=9) ===
Average Wall-Clock Time: 3.2517 s
Average ideal work: 3.2517 s
