Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 4.000271, 0.003760, 3.996511
2, 4.078382, 0.005997, 4.072385
3, 4.015259, 0.007580, 4.007679
4, 3.985044, 0.002001, 3.983044
5, 3.745741, 0.002005, 3.743735
6, 3.720774, 0.002002, 3.718772
7, 3.559402, 0.003129, 3.556273
8, 3.564408, 0.034264, 3.530145
9, 3.532132, 0.004989, 3.527143
10, 3.577364, 0.001003, 3.576361
11, 3.575320, 0.001004, 3.574316
12, 3.512176, 0.002116, 3.510060
13, 3.625913, 0.005984, 3.619929
14, 3.896596, 0.004073, 3.892523
15, 3.731195, 0.020624, 3.710572
16, 3.673567, 0.006011, 3.667556
17, 3.734928, 0.008900, 3.726028
18, 3.963002, 0.009026, 3.953976
19, 3.938753, 0.005950, 3.932802
20, 3.840108, 0.023777, 3.816331
21, 3.943768, 0.011853, 3.931915
22, 3.597502, 0.003002, 3.594500
23, 3.691232, 0.006155, 3.685077
24, 3.568256, 0.003085, 3.565171
25, 3.547900, 0.033414, 3.514486
26, 3.582556, 0.000999, 3.581558
27, 3.571377, 0.015978, 3.555399
28, 3.547117, 0.002000, 3.545117
29, 3.586231, 0.002969, 3.583262
30, 3.609118, 0.001004, 3.608114

=== Statistics (N=12) ===
Average Wall-Clock Time: 3.7172 s
Average ideal work: 3.7172 s
