Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.631071, 0.006004, 2.625067
2, 2.640339, 0.004012, 2.636327
3, 2.559601, 0.015649, 2.543952
4, 2.562792, 0.015638, 2.547154
5, 2.570511, 0.000000, 2.570511
6, 2.802878, 0.017247, 2.785630
7, 2.846189, 0.008486, 2.837703
8, 2.606180, 0.033978, 2.572202
9, 2.594779, 0.002999, 2.591780
10, 2.616706, 0.018827, 2.597879
11, 2.589984, 0.001983, 2.588001
12, 2.749574, 0.009994, 2.739580
13, 2.669582, 0.037291, 2.632291
14, 2.679495, 0.010034, 2.669461
15, 2.713853, 0.009993, 2.703860
16, 2.634442, 0.012950, 2.621493
17, 2.688490, 0.009254, 2.679236
18, 2.781302, 0.038115, 2.743187
19, 2.684338, 0.019381, 2.664957
20, 2.644890, 0.019607, 2.625283
21, 2.648962, 0.005815, 2.643147
22, 2.627878, 0.001384, 2.626494
23, 2.610766, 0.033889, 2.576877
24, 2.603039, 0.019589, 2.583449
25, 2.733709, 0.016970, 2.716739
26, 2.596289, 0.035437, 2.560852
27, 2.535256, 0.019619, 2.515637
28, 2.608490, 0.000000, 2.608490
29, 2.570096, 0.034204, 2.535891
30, 2.545633, 0.001000, 2.544633

=== Statistics (N=3) ===
Average Wall-Clock Time: 2.6449 s
Average ideal work: 2.6449 s
