Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 4.183987, 0.683613, 3.500749
2, 4.203579, 0.673515, 3.530320
3, 4.095960, 0.672989, 3.423317
4, 4.066891, 0.666454, 3.400789
5, 4.244734, 0.698193, 3.546829
6, 4.244734, 0.698193, 3.546829
7, 4.244734, 0.698193, 3.546829
8, 4.153819, 0.661084, 3.492996
9, 4.051885, 0.656334, 3.395871
10, 4.115910, 0.658543, 3.457724
11, 4.153637, 0.660348, 3.493615
12, 4.069859, 0.656963, 3.413141
13, 4.060471, 0.669918, 3.390868
14, 3.996748, 0.661442, 3.335621
15, 4.098930, 0.658821, 3.440427
16, 4.045696, 0.654455, 3.391594
17, 4.056886, 0.662037, 3.395166
18, 4.075673, 0.664072, 3.411918
19, 4.124736, 0.677167, 3.447852
20, 4.122763, 0.662431, 3.460691
21, 4.081138, 0.657396, 3.424055
22, 4.062753, 0.655656, 3.407410
23, 4.055944, 0.666601, 3.389689
24, 4.018071, 0.661819, 3.356590
25, 4.185932, 0.669179, 3.517004
26, 4.233712, 0.663476, 3.570558
27, 4.072308, 0.656498, 3.416160
28, 4.079588, 0.651364, 3.428513
29, 4.242918, 0.650913, 3.592284
30, 4.222816, 0.667174, 3.555901

=== Statistics (Threads=8) ===
Average Wall-Clock Time: 4.1222 s
Average ideal work: 4.1222 s
