Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 1.070037, 0.051157, 1.019081
2, 1.089080, 0.051980, 1.037303
3, 1.082701, 0.052119, 1.030751
4, 1.074727, 0.051572, 1.023360
5, 1.072879, 0.051504, 1.021578
6, 1.070976, 0.052108, 1.019071
7, 1.068200, 0.050073, 1.018356
8, 1.086812, 0.052412, 1.034568
9, 1.083104, 0.052065, 1.031259
10, 1.071562, 0.051741, 1.020025
11, 1.070376, 0.050843, 1.019734
12, 1.082168, 0.051718, 1.030652
13, 1.075507, 0.050948, 1.024724
14, 1.074701, 0.051814, 1.023086
15, 1.073677, 0.051662, 1.022220
16, 1.071162, 0.050908, 1.020455
17, 1.075662, 0.051261, 1.024624
18, 1.069109, 0.052792, 1.016521
19, 1.079360, 0.052775, 1.026787
20, 1.070880, 0.050644, 1.020438
21, 1.070000, 0.052463, 1.017740
22, 1.075630, 0.050911, 1.024884
23, 1.071016, 0.051696, 1.019487
24, 1.077214, 0.051967, 1.025471
25, 1.074544, 0.052014, 1.022717
26, 1.077736, 0.051467, 1.026434
27, 1.090904, 0.055318, 1.035762
28, 1.131139, 0.050200, 1.081109
29, 1.095929, 0.052816, 1.043285
30, 1.078189, 0.050350, 1.028037

=== Statistics (Threads=1) ===
Average Wall-Clock Time: 1.0785 s
Average ideal work: 1.0787 s
