Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.401743, 0.268466, 2.133549
2, 2.310232, 0.263586, 2.046918
3, 2.292188, 0.266485, 2.025974
4, 2.358015, 0.262538, 2.095746
5, 2.302043, 0.269148, 2.033165
6, 2.411379, 0.263410, 2.148245
7, 2.296658, 0.261030, 2.035897
8, 2.314036, 0.266566, 2.047743
9, 2.303475, 0.264223, 2.039527
10, 2.323908, 0.262779, 2.061362
11, 2.324141, 0.260270, 2.064143
12, 2.390521, 0.265169, 2.125624
13, 2.325526, 0.262800, 2.062997
14, 2.307343, 0.260707, 2.046909
15, 2.328326, 0.261848, 2.066771
16, 2.318623, 0.265504, 2.053390
17, 2.312906, 0.264063, 2.049080
18, 2.309462, 0.262123, 2.047610
19, 2.345255, 0.267564, 2.077961
20, 2.300760, 0.265493, 2.035539
21, 2.359040, 0.261660, 2.097654
22, 2.392033, 0.261630, 2.130642
23, 2.867075, 0.317006, 2.550306
24, 2.896320, 0.296244, 2.600264
25, 2.729686, 0.269059, 2.460803
26, 2.828877, 0.300991, 2.528086
27, 2.639832, 0.269497, 2.370615
28, 2.613533, 0.266768, 2.346970
29, 2.559321, 0.261427, 2.298151
30, 2.663627, 0.260075, 2.403764

=== Statistics (Threads=4) ===
Average Wall-Clock Time: 2.4375 s
Average ideal work: 2.4378 s
