Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.418958, 0.431191, 2.987982
2, 3.364393, 0.434020, 2.930614
3, 3.210551, 0.425530, 2.785346
4, 3.222905, 0.414396, 2.808864
5, 3.344274, 0.418176, 2.926411
6, 3.355044, 0.441244, 2.914095
7, 3.063263, 0.417936, 2.645679
8, 3.139871, 0.417146, 2.723086
9, 3.043333, 0.415857, 2.627798
10, 3.008607, 0.419288, 2.589641
11, 3.190221, 0.422369, 2.768169
12, 3.185793, 0.424654, 2.761456
13, 3.332249, 0.428685, 2.903884
14, 3.068175, 0.420961, 2.647755
15, 3.116513, 0.413270, 2.703597
16, 3.120696, 0.421427, 2.699589
17, 3.151731, 0.425976, 2.726115
18, 3.178154, 0.438440, 2.740068
19, 3.202521, 0.411222, 2.791654
20, 3.012978, 0.414395, 2.598960
21, 3.109022, 0.417538, 2.691803
22, 3.158380, 0.418412, 2.740320
23, 3.072182, 0.418768, 2.653773
24, 3.121296, 0.429627, 2.691999
25, 3.080692, 0.418474, 2.662594
26, 3.219978, 0.425697, 2.794639
27, 3.114507, 0.420673, 2.694158
28, 3.303278, 0.424972, 2.878595
29, 3.054829, 0.411729, 2.643458
30, 3.104702, 0.421360, 2.683660

=== Statistics (Threads=5) ===
Average Wall-Clock Time: 3.1690 s
Average ideal work: 3.1693 s
