Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 4.398903, 0.756353, 3.642903
2, 4.288453, 0.750462, 3.538296
3, 4.289834, 0.748223, 3.541932
4, 4.435040, 0.736525, 3.698803
5, 4.311490, 0.751798, 3.560080
6, 4.319644, 0.752224, 3.567701
7, 4.305291, 0.749593, 3.555979
8, 4.402978, 0.741413, 3.661818
9, 4.313384, 0.742812, 3.570928
10, 4.369484, 0.737062, 3.632672
11, 4.350487, 0.745005, 3.605838
12, 4.470634, 0.759537, 3.711359
13, 4.538721, 0.732442, 3.806617
14, 4.595925, 0.759524, 3.836617
15, 4.552398, 0.726459, 3.826116
16, 4.512694, 0.731384, 3.781508
17, 4.682803, 0.724294, 3.958760
18, 4.580381, 0.767065, 3.813566
19, 4.581273, 0.749057, 3.832447
20, 4.587716, 0.738738, 3.849159
21, 4.537752, 0.732998, 3.804969
22, 4.535268, 0.730875, 3.804618
23, 4.466460, 0.732090, 3.734625
24, 4.327512, 0.737556, 3.590313
25, 4.280492, 0.742980, 3.537831
26, 4.373262, 0.747303, 3.626245
27, 4.315050, 0.746717, 3.568653
28, 4.264364, 0.740589, 3.524130
29, 4.265208, 0.742892, 3.522669
30, 4.225013, 0.743237, 3.482105

=== Statistics (Threads=9) ===
Average Wall-Clock Time: 4.4159 s
Average ideal work: 4.4162 s
