Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.950517, 0.494594, 3.456222
2, 3.861772, 0.522646, 3.339473
3, 3.930838, 0.509813, 3.421373
4, 3.827489, 0.495529, 3.332277
5, 3.894475, 0.488694, 3.406135
6, 3.783102, 0.498473, 3.284920
7, 3.792894, 0.501898, 3.291369
8, 3.819386, 0.494717, 3.325030
9, 3.832517, 0.494403, 3.338464
10, 3.861381, 0.498668, 3.363034
11, 3.829262, 0.498689, 3.330931
12, 3.917734, 0.500246, 3.417768
13, 3.813325, 0.507813, 3.305868
14, 3.935440, 0.492710, 3.443031
15, 3.948518, 0.500432, 3.448437
16, 3.889155, 0.502143, 3.387360
17, 3.903495, 0.503551, 3.400303
18, 3.965729, 0.500587, 3.465563
19, 3.873959, 0.497760, 3.376574
20, 3.882206, 0.502102, 3.380470
21, 3.989124, 0.491107, 3.498347
22, 3.888404, 0.484551, 3.404212
23, 3.756796, 0.507302, 3.249851
24, 3.834409, 0.490176, 3.344518
25, 3.767970, 0.496988, 3.271303
26, 3.801747, 0.491448, 3.310658
27, 3.864634, 0.498997, 3.365956
28, 3.808971, 0.498333, 3.310992
29, 3.734706, 0.491688, 3.243382
30, 3.861981, 0.489339, 3.372996

=== Statistics (Threads=6) ===
Average Wall-Clock Time: 3.8607 s
Average ideal work: 3.8611 s
