Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 4.944520, 0.838431, 4.106436
2, 4.886926, 0.819599, 4.067698
3, 4.953331, 0.847616, 4.106093
4, 4.914627, 0.818801, 4.096134
5, 5.030366, 0.808860, 4.221759
6, 5.072363, 0.810433, 4.262156
7, 5.002481, 0.824347, 4.178377
8, 4.948511, 0.817010, 4.131743
9, 5.077222, 0.805865, 4.271567
10, 5.032382, 0.801322, 4.231302
11, 4.939791, 0.806740, 4.133299
12, 5.044974, 0.808384, 4.236833
13, 5.073490, 0.828572, 4.245126
14, 5.283051, 0.873126, 4.410169
15, 5.251648, 0.871114, 4.380814
16, 4.996490, 0.836142, 4.160634
17, 5.041579, 0.820804, 4.221125
18, 4.945373, 0.814724, 4.130927
19, 4.916410, 0.809395, 4.107330
20, 4.993684, 0.821964, 4.171997
21, 5.029996, 0.810275, 4.220034
22, 4.983506, 0.819767, 4.164083
23, 4.910120, 0.833730, 4.076633
24, 4.891561, 0.821470, 4.070410
25, 4.913932, 0.809121, 4.105158
26, 4.928929, 0.821998, 4.107206
27, 4.955678, 0.810559, 4.145464
28, 4.954063, 0.812748, 4.141667
29, 5.044237, 0.852933, 4.191485
30, 4.977948, 0.799636, 4.178553

=== Statistics (Threads=10) ===
Average Wall-Clock Time: 4.9980 s
Average ideal work: 4.9983 s
