Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 5.450873, 0.991298, 4.459927
2, 5.462599, 0.990851, 4.472065
3, 5.562538, 0.981565, 4.581305
4, 5.558677, 0.993274, 4.565723
5, 5.634102, 0.977198, 4.657236
6, 5.620739, 0.989061, 4.631885
7, 5.448052, 0.986288, 4.462082
8, 5.482762, 1.001890, 4.481223
9, 5.450798, 1.014348, 4.436804
10, 5.484965, 1.010876, 4.474445
11, 5.469271, 0.986352, 4.483272
12, 5.762617, 0.978808, 4.783989
13, 5.647916, 0.997878, 4.650296
14, 5.556955, 0.994174, 4.563098
15, 5.888841, 0.990050, 4.899019
16, 6.225143, 1.061912, 5.163463
17, 6.006039, 1.008371, 4.997921
18, 5.691053, 0.984588, 4.706718
19, 5.702708, 0.977717, 4.725277
20, 5.701373, 0.973904, 4.727726
21, 5.638135, 0.986620, 4.651803
22, 5.728299, 1.018289, 4.710335
23, 5.619066, 0.977592, 4.641830
24, 5.627107, 0.969193, 4.658202
25, 5.607433, 0.979884, 4.627815
26, 5.637231, 1.000904, 4.636646
27, 5.690775, 0.988319, 4.702710
28, 5.636469, 0.988551, 4.648238
29, 5.953945, 1.014360, 4.939839
30, 5.799915, 1.013220, 4.786977

=== Statistics (Threads=12) ===
Average Wall-Clock Time: 5.6582 s
Average ideal work: 5.6585 s
