Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 4.249744, 0.573078, 3.676979
2, 4.241117, 0.582383, 3.659083
3, 4.173937, 0.579858, 3.594427
4, 4.193121, 0.582352, 3.611109
5, 4.311106, 0.585232, 3.726223
6, 4.215538, 0.571668, 3.644191
7, 4.219364, 0.571024, 3.648684
8, 4.204561, 0.572728, 3.632148
9, 4.229513, 0.576609, 3.653250
10, 4.253069, 0.577018, 3.676383
11, 4.303898, 0.585174, 3.719072
12, 4.234177, 0.575437, 3.659083
13, 4.282303, 0.592205, 3.690412
14, 4.323115, 0.582696, 3.740727
15, 4.280951, 0.576935, 3.704383
16, 4.264810, 0.578653, 3.686625
17, 4.238063, 0.585279, 3.653133
18, 4.311968, 0.578097, 3.734183
19, 4.248200, 0.583879, 3.664631
20, 4.192035, 0.579620, 3.612732
21, 4.244687, 0.577930, 3.667070
22, 4.173499, 0.573133, 3.600712
23, 4.217985, 0.579711, 3.638592
24, 4.153855, 0.573503, 3.580662
25, 4.249343, 0.574696, 3.674969
26, 4.187486, 0.576500, 3.611332
27, 4.155040, 0.578664, 3.576724
28, 4.272964, 0.574688, 3.698583
29, 4.200660, 0.571135, 3.629836
30, 4.353895, 0.586215, 3.768024

=== Statistics (Threads=7) ===
Average Wall-Clock Time: 4.2393 s
Average ideal work: 4.2397 s
