Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.158051, 0.176987, 1.981378
2, 2.161272, 0.173877, 1.987706
3, 2.141141, 0.174807, 1.966676
4, 2.143339, 0.173864, 1.969787
5, 2.164642, 0.172856, 1.992145
6, 2.134857, 0.172228, 1.962940
7, 2.160955, 0.173082, 1.988186
8, 2.158913, 0.172834, 1.986422
9, 2.130632, 0.171564, 1.959417
10, 2.164960, 0.175646, 1.989620
11, 2.152372, 0.172655, 1.980059
12, 2.164976, 0.176209, 1.989111
13, 2.138578, 0.171845, 1.967049
14, 2.149039, 0.174912, 1.974477
15, 2.159778, 0.173609, 1.986477
16, 2.143989, 0.175314, 1.968952
17, 2.145687, 0.172867, 1.973169
18, 2.131724, 0.171313, 1.960759
19, 2.150992, 0.172630, 1.978713
20, 2.142426, 0.176058, 1.966718
21, 2.152951, 0.178473, 1.974822
22, 2.141898, 0.174583, 1.967658
23, 2.144013, 0.173836, 1.970531
24, 2.144908, 0.171645, 1.973618
25, 2.161204, 0.171601, 1.989949
26, 2.166077, 0.170301, 1.996120
27, 2.130649, 0.173911, 1.957054
28, 2.155046, 0.171482, 1.983913
29, 2.155181, 0.171699, 1.983762
30, 2.137865, 0.176013, 1.962167

=== Statistics (Threads=2) ===
Average Wall-Clock Time: 2.1496 s
Average ideal work: 2.1499 s
