Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.381000, 0.266412, 2.114944
2, 2.354270, 0.261837, 2.092758
3, 2.391699, 0.264045, 2.128003
4, 2.370893, 0.261054, 2.110156
5, 2.345825, 0.259499, 2.086685
6, 2.445711, 0.262839, 2.183228
7, 2.370978, 0.259173, 2.112169
8, 2.403353, 0.255279, 2.148429
9, 2.374458, 0.263502, 2.111280
10, 2.332762, 0.261019, 2.072104
11, 2.382390, 0.259736, 2.122979
12, 2.408151, 0.261990, 2.146518
13, 2.377444, 0.261204, 2.116568
14, 2.373222, 0.254969, 2.118574
15, 2.355012, 0.259976, 2.095392
16, 2.331456, 0.258846, 2.072969
17, 2.340194, 0.254637, 2.085913
18, 2.355458, 0.257190, 2.098628
19, 2.345117, 0.259425, 2.086050
20, 2.342437, 0.254172, 2.088631
21, 2.325309, 0.252727, 2.072941
22, 2.383188, 0.253182, 2.130366
23, 2.316852, 0.251028, 2.066182
24, 2.326377, 0.251779, 2.074880
25, 2.364883, 0.259484, 2.105693
26, 2.338276, 0.256995, 2.081638
27, 2.308193, 0.250710, 2.057838
28, 2.362478, 0.254314, 2.108513
29, 2.346566, 0.247478, 2.099446
30, 2.345666, 0.248546, 2.097369

=== Statistics (Threads=3) ===
Average Wall-Clock Time: 2.3600 s
Average ideal work: 2.3603 s
