Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.365146, 0.047568, 0.317804
2, 0.361289, 0.047517, 0.313978
3, 0.366173, 0.048108, 0.318269
4, 0.369320, 0.047957, 0.321568
5, 0.364806, 0.051123, 0.313891
6, 0.365149, 0.047590, 0.317765
7, 0.363155, 0.048941, 0.314421
8, 0.360872, 0.046777, 0.314300
9, 0.364905, 0.049520, 0.315592
10, 0.364993, 0.048739, 0.316459
11, 0.366700, 0.047322, 0.319587
12, 0.362360, 0.047882, 0.314683
13, 0.362997, 0.047325, 0.315824
14, 0.367048, 0.048476, 0.318777
15, 0.363249, 0.047358, 0.316096
16, 0.365794, 0.048408, 0.317591
17, 0.365833, 0.048815, 0.317223
18, 0.364548, 0.047542, 0.317210
19, 0.363281, 0.047461, 0.315992
20, 0.364276, 0.047091, 0.317358
21, 0.365280, 0.048292, 0.317192
22, 0.372098, 0.049753, 0.322516
23, 0.365629, 0.047671, 0.318167
24, 0.364131, 0.046912, 0.317421
25, 0.366462, 0.046869, 0.319796
26, 0.364941, 0.049006, 0.316105
27, 0.368321, 0.048976, 0.319552
28, 0.364555, 0.048309, 0.316452
29, 0.366797, 0.048115, 0.318887
30, 0.366229, 0.048184, 0.318250

=== Statistics (N=10) ===
Average Wall-Clock Time: 0.3652 s
Average ideal work: 0.3654 s
