Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.351172, 0.049703, 0.301640
2, 0.382883, 0.050190, 0.332899
3, 0.341996, 0.048132, 0.294098
4, 0.342212, 0.047435, 0.294982
5, 0.346572, 0.049564, 0.297229
6, 0.344290, 0.047749, 0.296716
7, 0.343966, 0.047831, 0.296338
8, 0.343353, 0.049076, 0.294483
9, 0.344835, 0.047679, 0.297362
10, 0.342035, 0.048017, 0.294223
11, 0.342839, 0.047565, 0.295463
12, 0.341043, 0.047644, 0.293603
13, 0.343968, 0.049260, 0.294914
14, 0.341307, 0.047364, 0.294113
15, 0.346490, 0.049134, 0.297563
16, 0.343625, 0.047949, 0.295846
17, 0.343633, 0.049011, 0.294799
18, 0.349903, 0.049201, 0.300907
19, 0.343699, 0.047327, 0.296578
20, 0.348048, 0.050123, 0.298092
21, 0.343921, 0.048260, 0.295863
22, 0.340794, 0.047209, 0.293792
23, 0.341052, 0.047199, 0.294056
24, 0.344013, 0.047702, 0.296480
25, 0.341979, 0.047566, 0.294583
26, 0.346293, 0.048170, 0.298323
27, 0.342280, 0.048214, 0.294272
28, 0.342896, 0.047905, 0.295200
29, 0.342118, 0.047703, 0.294621
30, 0.341534, 0.047187, 0.294551

=== Statistics (N=12) ===
Average Wall-Clock Time: 0.3452 s
Average ideal work: 0.3454 s
