Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.418305, 0.049515, 0.368959
2, 0.461738, 0.050532, 0.411351
3, 0.411346, 0.049388, 0.362061
4, 0.426153, 0.051347, 0.374960
5, 0.422767, 0.050694, 0.372207
6, 0.419191, 0.049308, 0.370059
7, 0.451714, 0.058392, 0.393492
8, 0.408583, 0.050391, 0.358365
9, 0.421820, 0.049770, 0.372222
10, 0.408700, 0.048633, 0.360172
11, 0.412071, 0.049693, 0.362527
12, 0.423279, 0.050047, 0.373473
13, 0.420477, 0.049469, 0.371177
14, 0.419586, 0.050633, 0.369092
15, 0.420940, 0.050474, 0.370671
16, 0.411003, 0.049082, 0.362125
17, 0.430119, 0.051060, 0.379265
18, 0.415098, 0.049148, 0.366117
19, 0.404054, 0.049311, 0.354949
20, 0.417089, 0.048858, 0.368408
21, 0.419314, 0.050304, 0.369172
22, 0.422219, 0.047757, 0.374563
23, 0.423763, 0.047690, 0.376287
24, 0.427886, 0.048705, 0.379355
25, 0.430253, 0.052638, 0.377765
26, 0.423130, 0.048402, 0.374943
27, 0.417223, 0.049085, 0.368320
28, 0.418101, 0.049242, 0.369031
29, 0.413046, 0.049978, 0.363292
30, 0.424590, 0.049592, 0.375140

=== Statistics (N=7) ===
Average Wall-Clock Time: 0.4215 s
Average ideal work: 0.4216 s
