Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.397961, 0.049785, 0.348315
2, 0.401145, 0.049412, 0.351901
3, 0.400834, 0.049604, 0.351403
4, 0.411540, 0.052831, 0.358895
5, 0.396298, 0.047936, 0.348568
6, 0.398078, 0.049643, 0.348611
7, 0.397303, 0.048539, 0.348974
8, 0.400755, 0.048824, 0.352136
9, 0.392778, 0.047611, 0.345373
10, 0.395826, 0.047999, 0.348034
11, 0.403205, 0.049121, 0.354252
12, 0.399112, 0.050252, 0.349093
13, 0.400265, 0.048876, 0.351572
14, 0.397015, 0.048340, 0.348881
15, 0.393156, 0.049159, 0.344207
16, 0.401420, 0.048808, 0.352816
17, 0.398202, 0.049085, 0.349324
18, 0.404717, 0.050499, 0.354425
19, 0.402670, 0.050265, 0.352608
20, 0.402664, 0.050144, 0.352727
21, 0.394868, 0.049781, 0.345289
22, 0.399851, 0.049583, 0.350442
23, 0.395823, 0.048867, 0.347163
24, 0.405156, 0.052755, 0.352603
25, 0.448032, 0.060903, 0.387334
26, 0.418103, 0.055506, 0.362832
27, 0.391026, 0.048458, 0.342775
28, 0.400362, 0.052069, 0.348498
29, 0.393656, 0.052299, 0.341562
30, 0.395534, 0.049459, 0.346280

=== Statistics (N=8) ===
Average Wall-Clock Time: 0.4012 s
Average ideal work: 0.4014 s
