Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 1.074455, 0.052462, 1.022198
2, 1.078296, 0.051781, 1.026720
3, 1.075935, 0.050789, 1.025311
4, 1.086002, 0.051148, 1.035069
5, 1.085748, 0.050721, 1.035203
6, 1.081194, 0.051303, 1.030094
7, 1.112637, 0.052998, 1.059814
8, 1.093177, 0.051166, 1.042217
9, 1.102772, 0.050993, 1.051988
10, 1.071927, 0.050507, 1.021624
11, 1.070378, 0.051813, 1.018767
12, 1.064782, 0.051868, 1.013119
13, 1.068552, 0.050946, 1.017812
14, 1.070601, 0.050117, 1.020688
15, 1.072217, 0.049875, 1.022547
16, 1.067014, 0.051668, 1.015522
17, 1.089940, 0.051267, 1.038832
18, 1.092160, 0.052283, 1.040080
19, 1.153354, 0.053113, 1.100379
20, 1.101912, 0.051245, 1.050801
21, 1.073292, 0.050216, 1.023245
22, 1.072169, 0.051438, 1.020861
23, 1.139007, 0.063541, 1.075592
24, 1.180522, 0.052024, 1.128614
25, 1.094922, 0.050990, 1.044135
26, 1.094833, 0.050901, 1.044136
27, 1.088478, 0.051335, 1.037312
28, 1.074694, 0.052218, 1.022649
29, 1.106621, 0.052574, 1.054228
30, 1.085895, 0.051352, 1.034749

=== Statistics (N=1) ===
Average Wall-Clock Time: 1.0908 s
Average ideal work: 1.0910 s
