Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.466886, 0.051961, 0.415132
2, 0.460628, 0.050824, 0.410019
3, 0.481385, 0.049993, 0.431601
4, 0.446651, 0.050105, 0.396753
5, 0.442785, 0.049953, 0.393040
6, 0.465244, 0.051538, 0.413915
7, 0.496790, 0.049955, 0.447041
8, 0.445573, 0.049914, 0.395865
9, 0.449274, 0.050182, 0.399299
10, 0.465400, 0.049614, 0.415955
11, 0.445221, 0.050320, 0.395106
12, 0.452166, 0.050417, 0.401954
13, 0.469277, 0.050273, 0.419208
14, 0.506624, 0.050464, 0.456364
15, 0.477256, 0.049703, 0.427759
16, 0.469378, 0.050589, 0.418994
17, 0.462416, 0.051325, 0.411298
18, 0.448498, 0.051499, 0.397205
19, 0.465734, 0.051226, 0.414714
20, 0.493268, 0.051856, 0.441618
21, 0.471338, 0.052773, 0.418738
22, 0.467808, 0.051412, 0.416566
23, 0.480152, 0.050408, 0.429948
24, 0.470857, 0.050566, 0.420435
25, 0.471024, 0.052427, 0.418695
26, 0.469210, 0.051149, 0.418266
27, 0.478110, 0.049715, 0.428599
28, 0.468706, 0.051527, 0.417381
29, 0.468729, 0.051002, 0.417866
30, 0.457980, 0.050176, 0.408013

=== Statistics (N=4) ===
Average Wall-Clock Time: 0.4671 s
Average ideal work: 0.4673 s
