Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.532333, 0.051792, 0.480710
2, 0.533562, 0.050564, 0.483203
3, 0.518644, 0.050724, 0.468088
4, 0.520893, 0.052121, 0.468979
5, 0.526529, 0.054098, 0.472605
6, 0.547466, 0.051366, 0.496305
7, 0.518898, 0.051615, 0.467486
8, 0.518068, 0.050639, 0.467634
9, 0.537575, 0.052131, 0.485647
10, 0.523471, 0.051799, 0.471843
11, 0.550298, 0.052041, 0.498424
12, 0.549335, 0.051436, 0.498103
13, 0.512706, 0.050779, 0.462133
14, 0.518026, 0.051712, 0.466485
15, 0.524071, 0.052006, 0.472235
16, 0.516805, 0.050320, 0.466692
17, 0.515425, 0.051977, 0.463659
18, 0.516664, 0.050806, 0.466065
19, 0.532031, 0.050862, 0.481374
20, 0.519495, 0.051398, 0.468300
21, 0.512783, 0.050303, 0.462654
22, 0.512909, 0.050092, 0.463022
23, 0.511514, 0.050904, 0.460815
24, 0.516484, 0.049884, 0.466806
25, 0.511379, 0.049415, 0.462173
26, 0.514930, 0.050769, 0.464332
27, 0.519977, 0.051470, 0.468712
28, 0.553292, 0.050141, 0.503356
29, 0.513704, 0.050085, 0.463825
30, 0.514925, 0.050911, 0.464230

=== Statistics (N=3) ===
Average Wall-Clock Time: 0.5238 s
Average ideal work: 0.5240 s
