Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.654702, 0.051854, 0.603054
2, 0.666420, 0.051982, 0.614643
3, 0.659590, 0.052607, 0.607155
4, 0.667857, 0.051065, 0.616893
5, 0.653977, 0.051269, 0.602913
6, 0.663071, 0.049711, 0.613528
7, 0.658352, 0.051047, 0.607487
8, 0.655016, 0.050838, 0.604349
9, 0.652634, 0.050939, 0.601868
10, 0.668822, 0.052503, 0.616524
11, 0.682216, 0.051562, 0.630859
12, 0.662427, 0.050119, 0.612513
13, 0.656277, 0.050835, 0.605648
14, 0.671937, 0.050905, 0.621213
15, 0.649655, 0.051238, 0.598623
16, 0.657431, 0.051745, 0.605888
17, 0.654337, 0.051287, 0.603258
18, 0.667701, 0.050949, 0.616931
19, 0.656969, 0.050492, 0.606684
20, 0.657135, 0.050110, 0.607232
21, 0.681095, 0.050119, 0.631142
22, 0.658536, 0.050394, 0.608346
23, 0.680470, 0.051722, 0.628953
24, 0.677740, 0.053226, 0.624720
25, 0.669610, 0.051373, 0.618373
26, 0.659840, 0.052182, 0.607865
27, 0.661559, 0.052012, 0.609720
28, 0.658620, 0.051088, 0.607807
29, 0.657848, 0.051109, 0.606907
30, 0.662057, 0.051125, 0.611140

=== Statistics (N=2) ===
Average Wall-Clock Time: 0.6628 s
Average ideal work: 0.6630 s
