Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.402240, 0.057154, 0.345252
2, 0.380974, 0.049671, 0.331471
3, 0.382828, 0.050060, 0.332976
4, 0.380728, 0.047310, 0.333623
5, 0.378724, 0.048242, 0.330687
6, 0.379700, 0.047826, 0.332078
7, 0.380736, 0.048431, 0.332494
8, 0.375393, 0.046751, 0.328816
9, 0.376222, 0.048370, 0.328059
10, 0.373044, 0.048965, 0.324285
11, 0.375048, 0.047629, 0.327588
12, 0.377591, 0.047521, 0.330276
13, 0.375476, 0.047746, 0.327901
14, 0.381142, 0.048624, 0.332725
15, 0.380217, 0.048639, 0.331751
16, 0.373724, 0.049170, 0.324761
17, 0.376080, 0.047781, 0.328506
18, 0.375890, 0.046971, 0.329123
19, 0.380455, 0.048581, 0.332081
20, 0.376722, 0.048190, 0.328739
21, 0.380140, 0.050269, 0.330074
22, 0.382422, 0.048887, 0.333741
23, 0.378066, 0.048256, 0.329979
24, 0.375362, 0.048544, 0.327026
25, 0.378428, 0.047241, 0.331394
26, 0.377861, 0.048477, 0.329591
27, 0.377619, 0.047534, 0.330292
28, 0.378321, 0.047209, 0.331285
29, 0.378640, 0.047013, 0.331829
30, 0.383667, 0.049815, 0.334055

=== Statistics (N=9) ===
Average Wall-Clock Time: 0.3791 s
Average ideal work: 0.3793 s
