Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.458965, 0.053223, 0.405862
2, 0.456867, 0.051515, 0.405538
3, 0.434910, 0.050308, 0.384804
4, 0.421972, 0.049951, 0.372228
5, 0.417977, 0.053480, 0.364666
6, 0.439244, 0.051921, 0.387529
7, 0.431952, 0.050411, 0.381745
8, 0.431405, 0.052778, 0.378971
9, 0.398512, 0.047848, 0.350834
10, 0.405542, 0.050705, 0.355043
11, 0.424525, 0.050551, 0.374144
12, 0.407218, 0.052253, 0.355134
13, 0.406564, 0.049493, 0.357275
14, 0.433818, 0.051658, 0.382366
15, 0.430030, 0.053300, 0.376936
16, 0.432145, 0.049929, 0.382421
17, 0.402568, 0.050343, 0.352430
18, 0.410965, 0.051160, 0.359984
19, 0.411093, 0.050506, 0.360791
20, 0.457058, 0.051610, 0.405582
21, 0.446764, 0.054988, 0.391916
22, 0.441902, 0.052496, 0.389575
23, 0.417197, 0.049255, 0.368146
24, 0.441184, 0.052958, 0.388403
25, 0.472960, 0.049627, 0.423467
26, 0.475301, 0.049446, 0.425959
27, 0.461221, 0.049246, 0.412176
28, 0.437720, 0.050629, 0.387225
29, 0.477659, 0.050857, 0.426988
30, 0.429498, 0.052112, 0.377576

=== Statistics (N=5) ===
Average Wall-Clock Time: 0.4338 s
Average ideal work: 0.4340 s
