Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.416944, 0.050408, 0.366744
2, 0.427962, 0.054693, 0.373370
3, 0.420972, 0.049811, 0.371337
4, 0.438953, 0.051734, 0.387386
5, 0.443416, 0.052987, 0.390571
6, 0.448754, 0.051708, 0.397181
7, 0.456506, 0.050069, 0.406643
8, 0.421652, 0.049071, 0.372752
9, 0.421576, 0.049178, 0.372539
10, 0.436501, 0.050876, 0.385761
11, 0.429243, 0.050006, 0.379351
12, 0.431613, 0.052140, 0.379641
13, 0.430826, 0.049668, 0.381366
14, 0.427111, 0.049435, 0.377816
15, 0.422599, 0.048364, 0.374404
16, 0.460184, 0.054020, 0.406298
17, 0.427692, 0.050235, 0.377653
18, 0.431322, 0.050244, 0.381282
19, 0.429935, 0.051740, 0.378399
20, 0.447175, 0.050877, 0.396430
21, 0.428825, 0.051465, 0.377528
22, 0.430833, 0.051284, 0.379754
23, 0.436968, 0.049533, 0.387607
24, 0.449130, 0.050669, 0.398630
25, 0.422297, 0.049142, 0.373362
26, 0.442821, 0.050943, 0.392086
27, 0.438092, 0.050136, 0.388163
28, 0.414813, 0.048579, 0.366440
29, 0.431535, 0.047527, 0.384213
30, 0.422390, 0.051330, 0.371160

=== Statistics (N=6) ===
Average Wall-Clock Time: 0.4330 s
Average ideal work: 0.4331 s
