Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.448158, 0.000000, 3.448158
2, 3.399660, 0.015624, 3.384036
3, 3.408928, 0.000000, 3.408928
4, 3.460371, 0.000000, 3.460371
5, 3.408095, 0.004062, 3.404033
6, 3.804877, 0.008051, 3.796826
7, 3.702999, 0.005458, 3.697541
8, 3.456584, 0.000000, 3.456584
9, 3.601153, 0.027210, 3.573943
10, 3.482039, 0.013000, 3.469040
11, 3.634653, 0.005994, 3.628659
12, 3.610042, 0.005723, 3.604318
13, 3.659228, 0.008878, 3.650350
14, 3.903265, 0.005996, 3.897269
15, 3.819699, 0.005658, 3.814041
16, 3.591885, 0.003015, 3.588870
17, 3.417896, 0.004990, 3.412906
18, 3.508720, 0.005990, 3.502730
19, 3.454060, 0.002049, 3.452011
20, 3.386209, 0.000000, 3.386209
21, 3.539519, 0.002368, 3.537152
22, 3.487309, 0.016629, 3.470680
23, 3.409304, 0.017605, 3.391699
24, 3.433013, 0.025906, 3.407107
25, 3.555097, 0.032861, 3.522236
26, 3.518624, 0.005709, 3.512915
27, 3.657926, 0.009246, 3.648680
28, 3.730973, 0.011377, 3.719596
29, 3.857673, 0.002321, 3.855352
30, 3.894800, 0.004995, 3.889805

=== Statistics (Threads=11) ===
Average Wall-Clock Time: 3.5748 s
Average ideal work: 3.5748 s
