Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.397654, 0.002046, 2.395608
2, 2.398498, 0.000000, 2.398498
3, 2.301286, 0.005020, 2.296266
4, 2.288662, 0.001001, 2.287662
5, 2.366448, 0.002666, 2.363782
6, 2.521052, 0.000000, 2.521052
7, 2.503422, 0.002969, 2.500454
8, 2.335966, 0.002049, 2.333917
9, 2.505879, 0.003096, 2.502783
10, 2.470943, 0.000000, 2.470943
11, 2.419723, 0.006006, 2.413718
12, 2.432368, 0.030302, 2.402066
13, 2.503871, 0.003509, 2.500362
14, 2.327541, 0.015625, 2.311915
15, 2.415777, 0.003004, 2.412773
16, 2.322659, 0.014885, 2.307774
17, 2.391728, 0.031255, 2.360474
18, 2.498793, 0.001001, 2.497792
19, 2.443014, 0.002954, 2.440061
20, 2.457711, 0.002004, 2.455707
21, 2.420901, 0.003701, 2.417200
22, 2.431682, 0.017999, 2.413682
23, 2.268865, 0.003066, 2.265799
24, 2.427026, 0.006185, 2.420841
25, 2.423387, 0.018632, 2.404755
26, 2.364665, 0.000411, 2.364254
27, 2.563963, 0.004021, 2.559942
28, 2.499100, 0.002146, 2.496954
29, 2.426206, 0.003552, 2.422653
30, 2.214334, 0.007406, 2.206928

=== Statistics (Threads=5) ===
Average Wall-Clock Time: 2.4114 s
Average ideal work: 2.4114 s
