Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.251937, 0.004026, 2.247910
2, 2.234401, 0.004015, 2.230386
3, 2.246882, 0.005946, 2.240936
4, 2.119444, 0.003130, 2.116314
5, 2.211087, 0.004386, 2.206701
6, 2.210396, 0.016630, 2.193766
7, 2.225524, 0.002205, 2.223319
8, 2.345596, 0.003749, 2.341847
9, 2.193601, 0.000955, 2.192646
10, 2.303478, 0.019024, 2.284454
11, 2.129298, 0.001000, 2.128298
12, 2.297495, 0.003810, 2.293685
13, 2.298618, 0.016630, 2.281987
14, 2.272135, 0.003011, 2.269125
15, 2.311774, 0.002003, 2.309771
16, 2.231885, 0.004049, 2.227836
17, 2.125590, 0.003006, 2.122584
18, 2.211712, 0.014863, 2.196849
19, 2.276778, 0.002003, 2.274775
20, 2.114272, 0.017273, 2.096999
21, 2.197327, 0.000000, 2.197327
22, 2.245267, 0.000648, 2.244619
23, 2.294113, 0.006088, 2.288025
24, 2.117188, 0.018741, 2.098447
25, 2.350114, 0.003941, 2.346173
26, 2.232267, 0.003004, 2.229263
27, 2.406877, 0.001001, 2.405876
28, 2.257577, 0.000000, 2.257577
29, 2.452576, 0.001004, 2.451572
30, 2.226501, 0.002008, 2.224494

=== Statistics (Threads=4) ===
Average Wall-Clock Time: 2.2464 s
Average ideal work: 2.2464 s
