Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.999405, 0.008674, 2.990731
2, 3.016398, 0.004010, 3.012388
3, 2.980433, 0.002001, 2.978432
4, 2.749599, 0.000000, 2.749599
5, 2.908174, 0.002483, 2.905691
6, 2.828856, 0.003016, 2.825840
7, 2.696784, 0.000000, 2.696784
8, 2.806814, 0.015651, 2.791162
9, 2.708592, 0.019636, 2.688957
10, 2.987091, 0.007750, 2.979341
11, 2.825760, 0.005584, 2.820175
12, 2.817890, 0.029765, 2.788125
13, 2.830592, 0.001106, 2.829486
14, 2.661634, 0.015623, 2.646011
15, 2.632776, 0.015628, 2.617149
16, 2.903720, 0.027092, 2.876628
17, 2.882865, 0.016566, 2.866299
18, 2.952439, 0.002102, 2.950336
19, 2.896009, 0.010681, 2.885328
20, 2.866011, 0.002000, 2.864011
21, 2.940856, 0.003504, 2.937351
22, 2.798566, 0.001000, 2.797566
23, 3.011518, 0.016913, 2.994604
24, 2.717717, 0.000106, 2.717611
25, 2.789365, 0.011121, 2.778244
26, 2.778962, 0.000000, 2.778962
27, 2.845759, 0.004550, 2.841209
28, 2.855472, 0.006135, 2.849337
29, 2.930754, 0.017126, 2.913628
30, 3.041888, 0.004009, 3.037879

=== Statistics (Threads=7) ===
Average Wall-Clock Time: 2.8554 s
Average ideal work: 2.8554 s
