Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.175865, 0.005184, 3.170681
2, 3.270773, 0.007079, 3.263694
3, 3.064329, 0.027177, 3.037152
4, 3.208413, 0.022391, 3.186023
5, 2.967819, 0.003957, 2.963862
6, 3.116171, 0.020549, 3.095623
7, 3.067432, 0.004496, 3.062937
8, 3.088768, 0.004742, 3.084026
9, 3.094013, 0.007714, 3.086299
10, 3.043980, 0.022621, 3.021359
11, 2.990224, 0.002512, 2.987712
12, 2.876793, 0.000000, 2.876793
13, 3.112081, 0.018632, 3.093449
14, 3.060132, 0.005661, 3.054471
15, 3.123490, 0.003960, 3.119530
16, 3.104430, 0.017092, 3.087338
17, 3.194903, 0.006258, 3.188646
18, 2.960340, 0.001267, 2.959073
19, 3.054321, 0.001098, 3.053223
20, 3.113472, 0.004966, 3.108507
21, 3.089104, 0.006987, 3.082117
22, 3.122500, 0.000000, 3.122500
23, 3.098805, 0.000000, 3.098805
24, 3.213298, 0.009512, 3.203786
25, 3.089472, 0.017536, 3.071936
26, 3.232221, 0.032091, 3.200130
27, 3.221043, 0.006315, 3.214727
28, 2.851474, 0.015628, 2.835846
29, 2.846528, 0.033058, 2.813470
30, 2.829325, 0.015620, 2.813705

=== Statistics (Threads=8) ===
Average Wall-Clock Time: 3.0761 s
Average ideal work: 3.0761 s
