Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 1.876912, 0.000000, 1.876912
2, 2.007057, 0.001003, 2.006055
3, 2.000499, 0.000122, 2.000377
4, 2.003317, 0.003996, 1.999321
5, 2.051317, 0.003420, 2.047897
6, 1.876844, 0.002124, 1.874720
7, 1.982101, 0.001000, 1.981101
8, 1.882157, 0.000000, 1.882157
9, 1.874441, 0.000999, 1.873442
10, 1.921644, 0.002994, 1.918650
11, 1.846681, 0.000000, 1.846681
12, 1.924861, 0.001046, 1.923815
13, 2.028225, 0.002061, 2.026165
14, 1.967723, 0.002080, 1.965643
15, 2.009429, 0.003147, 2.006282
16, 1.949071, 0.001000, 1.948071
17, 1.911534, 0.003819, 1.907715
18, 1.974054, 0.000999, 1.973055
19, 1.981175, 0.000381, 1.980794
20, 2.016247, 0.000000, 2.016247
21, 1.964987, 0.015468, 1.949519
22, 1.978557, 0.000000, 1.978557
23, 1.962473, 0.001925, 1.960548
24, 2.001253, 0.001000, 2.000253
25, 1.935456, 0.000000, 1.935456
26, 2.060023, 0.002011, 2.058012
27, 2.017635, 0.003033, 2.014601
28, 1.920610, 0.000024, 1.920586
29, 1.996093, 0.000000, 1.996093
30, 2.019423, 0.000000, 2.019423

=== Statistics (Threads=2) ===
Average Wall-Clock Time: 1.9647 s
Average ideal work: 1.9647 s
