Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.119798, 0.000000, 0.119798
2, 0.129386, 0.000000, 0.129386
3, 0.114263, 0.000345, 0.113918
4, 0.119588, 0.000000, 0.119588
5, 0.130584, 0.000000, 0.130584
6, 0.123806, 0.000000, 0.123806
7, 0.114191, 0.001634, 0.112557
8, 0.125224, 0.000478, 0.124747
9, 0.108850, 0.000000, 0.108850
10, 0.124977, 0.000000, 0.124977
11, 0.124331, 0.001000, 0.123332
12, 0.120702, 0.002044, 0.118658
13, 0.143433, 0.000000, 0.143433
14, 0.118943, 0.000000, 0.118943
15, 0.125561, 0.000000, 0.125561
16, 0.122622, 0.000059, 0.122562
17, 0.123974, 0.001148, 0.122826
18, 0.118783, 0.000953, 0.117830
19, 0.133894, 0.001987, 0.131907
20, 0.116622, 0.000000, 0.116622
21, 0.109208, 0.000000, 0.109208
22, 0.136436, 0.001325, 0.135111
23, 0.119480, 0.002000, 0.117480
24, 0.113821, 0.000000, 0.113821
25, 0.109375, 0.000000, 0.109375
26, 0.125000, 0.000000, 0.125000
27, 0.125000, 0.000000, 0.125000
28, 0.111479, 0.000000, 0.111479
29, 0.125000, 0.000000, 0.125000
30, 0.124976, 0.000000, 0.124976

=== Statistics (Threads=1) ===
Average Wall-Clock Time: 0.1220 s
Average ideal work: 0.1220 s
