Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.141192, 0.018627, 3.122565
2, 3.426784, 0.006060, 3.420724
3, 3.479623, 0.019645, 3.459977
4, 3.145239, 0.016345, 3.128894
5, 3.072645, 0.017634, 3.055011
6, 3.124222, 0.016674, 3.107548
7, 3.042602, 0.017608, 3.024994
8, 3.339706, 0.018995, 3.320711
9, 3.192964, 0.003899, 3.189065
10, 3.273847, 0.014640, 3.259206
11, 3.124778, 0.000000, 3.124778
12, 3.044628, 0.001003, 3.043625
13, 3.055239, 0.017592, 3.037647
14, 3.044820, 0.001987, 3.042833
15, 3.176159, 0.003112, 3.173047
16, 3.048471, 0.000000, 3.048471
17, 3.219595, 0.001005, 3.218590
18, 3.042104, 0.002000, 3.040104
19, 3.100788, 0.012903, 3.087885
20, 3.131132, 0.015626, 3.115505
21, 3.137505, 0.000000, 3.137505
22, 3.212560, 0.006000, 3.206559
23, 3.164414, 0.002005, 3.162409
24, 3.073561, 0.003999, 3.069563
25, 3.112684, 0.017724, 3.094960
26, 3.095929, 0.000979, 3.094950
27, 3.048666, 0.000291, 3.048375
28, 3.021510, 0.015618, 3.005893
29, 3.041747, 0.001996, 3.039752
30, 3.092901, 0.002791, 3.090110

=== Statistics (Threads=9) ===
Average Wall-Clock Time: 3.1409 s
Average ideal work: 3.1409 s
