Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.930230, 0.021975, 3.908254
2, 3.969892, 0.006254, 3.963638
3, 4.108246, 0.004391, 4.103854
4, 4.041639, 0.001992, 4.039647
5, 3.769315, 0.018631, 3.750684
6, 3.656155, 0.002000, 3.654155
7, 3.648556, 0.001995, 3.646561
8, 3.624918, 0.004559, 3.620358
9, 3.658142, 0.001896, 3.656246
10, 3.673778, 0.007023, 3.666755
11, 3.743578, 0.005995, 3.737583
12, 3.731271, 0.015623, 3.715648
13, 3.662663, 0.000000, 3.662663
14, 3.626338, 0.003994, 3.622344
15, 3.706338, 0.004984, 3.701354
16, 3.717839, 0.001984, 3.715855
17, 3.671631, 0.001000, 3.670630
18, 3.642941, 0.000987, 3.641954
19, 3.904675, 0.006722, 3.897953
20, 3.757728, 0.005375, 3.752353
21, 3.703173, 0.018633, 3.684540
22, 3.674914, 0.016492, 3.658422
23, 4.034753, 0.007444, 4.027309
24, 4.238475, 0.011001, 4.227474
25, 4.301984, 0.011351, 4.290633
26, 4.309904, 0.019844, 4.290060
27, 3.858267, 0.001020, 3.857247
28, 3.697186, 0.021641, 3.675545
29, 3.744818, 0.015785, 3.729034
30, 3.669315, 0.015621, 3.653693

=== Statistics (Threads=12) ===
Average Wall-Clock Time: 3.8160 s
Average ideal work: 3.8160 s
