Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.198241, 0.000000, 2.198241
2, 2.130166, 0.001110, 2.129056
3, 2.092853, 0.003152, 2.089700
4, 2.116588, 0.000998, 2.115589
5, 2.176141, 0.002008, 2.174133
6, 2.073956, 0.000000, 2.073956
7, 2.083219, 0.003025, 2.080194
8, 2.123636, 0.016214, 2.107421
9, 2.087381, 0.000983, 2.086398
10, 2.158797, 0.001000, 2.157797
11, 2.140837, 0.001002, 2.139835
12, 2.077620, 0.001991, 2.075629
13, 2.169053, 0.015891, 2.153162
14, 2.133592, 0.000886, 2.132706
15, 2.150219, 0.000000, 2.150219
16, 2.082728, 0.001238, 2.081490
17, 2.101462, 0.001599, 2.099863
18, 2.051950, 0.005396, 2.046554
19, 2.078436, 0.019631, 2.058805
20, 2.001881, 0.005054, 1.996827
21, 2.027535, 0.003008, 2.024528
22, 2.010789, 0.031235, 1.979554
23, 2.018045, 0.000992, 2.017053
24, 2.106220, 0.014617, 2.091603
25, 2.131873, 0.000000, 2.131873
26, 2.044198, 0.001014, 2.043184
27, 2.094130, 0.015639, 2.078491
28, 2.119015, 0.001065, 2.117950
29, 2.127750, 0.004094, 2.123657
30, 2.139595, 0.001289, 2.138306

=== Statistics (Threads=3) ===
Average Wall-Clock Time: 2.1016 s
Average ideal work: 2.1016 s
