Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 2.683989, 0.015547, 2.668442
2, 2.670547, 0.015646, 2.654901
3, 2.506304, 0.016643, 2.489661
4, 2.480727, 0.002163, 2.478564
5, 2.572395, 0.016634, 2.555761
6, 2.496612, 0.004031, 2.492581
7, 2.445215, 0.002991, 2.442224
8, 2.571059, 0.006624, 2.564435
9, 2.503398, 0.012115, 2.491283
10, 2.512767, 0.002017, 2.510750
11, 2.503603, 0.008035, 2.495568
12, 2.502913, 0.000000, 2.502913
13, 2.602993, 0.020806, 2.582187
14, 2.485400, 0.022774, 2.462626
15, 2.544652, 0.005136, 2.539516
16, 2.477033, 0.032275, 2.444758
17, 2.499651, 0.003399, 2.496252
18, 2.555292, 0.000000, 2.555292
19, 2.523241, 0.016652, 2.506588
20, 2.788736, 0.023634, 2.765102
21, 2.512641, 0.016176, 2.496465
22, 2.525499, 0.000746, 2.524752
23, 2.536387, 0.032564, 2.503824
24, 2.719182, 0.021013, 2.698169
25, 2.748900, 0.003505, 2.745394
26, 2.724217, 0.000997, 2.723220
27, 2.704902, 0.005013, 2.699888
28, 2.699261, 0.013425, 2.685836
29, 2.632378, 0.004861, 2.627517
30, 2.643333, 0.004013, 2.639320

=== Statistics (Threads=6) ===
Average Wall-Clock Time: 2.5791 s
Average ideal work: 2.5791 s
